Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C19, C20, C6, C9",0402,6,C_0402_2.2uF_6.3V_X5R,
"C11, C12, C14, C15, C18, C8",0402,6,C_0402_100nF_10V_X7R,
"C13, C16",0402,2,C_0402_15pF_50V_C0G,
"C17, C2, C5",0402,3,C_0402_4.7uF_10V_X5R,
C3,0402,1,C_0402_1uF_10V_X5R,
C7,0402,1,C_0402_22nF_50V_X7R,
CN1,CONN-SMD_6P-P1.00_XUNPU_WAFER-SH1.0-6PWB,1,WAFER-SH1_0-6PWB,C3029345
"D1, D2",0402,2,TPESD0402G05V,
D3,0603,1,NCD0603G1,
F1,0402,1,BSMD0402L-020,
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,
"R10, R11",0402,2,R_0402_5.1K_5%,
"R2, R3",0402,2,R_0402_27_5%,
R4,0402,1,R_0402_200_5%,
"R5, R6",0402,2,R_0402_1K_5%,
R7,0402,1,R_0402_470_5%,
"R8, R9",0402,2,R_0402_0_5%,
SW1,SW_SPST_B3U-1000P,1,B3U-1000P,
U1,USON8-2x3mm-EP0.2x1.6mm,1,W25Q16JVUXIQ,
U2,ZW101,1,~,
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U5,SOT-23,1,662K,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,X252012MMB4SI-24,
